ROWHEADER,Test,ODI,T20,IPL,name,country
300s,0,0,0,0,Hanuma Vihari,India
400s,0,0,0,0,Hanuma Vihari,India
Matches,80,204,74,247,Ravindra Jadeja,India
Innings,118,137,41,191,Ravindra Jadeja,India
Runs,3370,2806,515,3051,Ravindra Jadeja,India
Balls,6100,3284,405,2361,Ravindra Jadeja,India
Highest,175,87,46,62,Ravindra Jadeja,India
Average,34.74,32.63,21.46,27,Ravindra Jadeja,India
SR,55.25,85.45,127.17,129.23,Ravindra Jadeja,India
Not Out,21,51,17,78,Ravindra Jadeja,India
Fours,330,205,39,220,Ravindra Jadeja,India
Sixes,69,54,14,110,Ravindra Jadeja,India
Ducks,8,6,3,9,Ravindra Jadeja,India
50s,22,13,0,3,Ravindra Jadeja,India
100s,4,0,0,0,Ravindra Jadeja,India
200s,0,0,0,0,Ravindra Jadeja,India
300s,0,0,0,0,Ravindra Jadeja,India
400s,0,0,0,0,Ravindra Jadeja,India
Matches,11,47,25,102,Shardul Thakur,India
Innings,18,25,6,41,Shardul Thakur,India
Runs,331,329,69,321,Shardul Thakur,India
Balls,522,313,38,232,Shardul Thakur,India
Highest,67,50,22,68,Shardul Thakur,India
Average,19.47,17.32,23,11.89,Shardul Thakur,India
SR,63.41,105.12,181.58,138.37,Shardul Thakur,India
Not Out,1,6,3,14,Shardul Thakur,India
Fours,41,31,5,29,Shardul Thakur,India
Sixes,9,9,4,13,Shardul Thakur,India
Ducks,3,1,2,8,Shardul Thakur,India
50s,4,1,0,1,Shardul Thakur,India
100s,0,0,0,0,Shardul Thakur,India
200s,0,0,0,0,Shardul Thakur,India
300s,0,0,0,0,Shardul Thakur,India
400s,0,0,0,0,Shardul Thakur,India
Matches,106,116,65,217,Ravichandran Ashwin,India
Innings,151,63,19,96,Ravichandran Ashwin,India
Runs,3503,707,184,812,Ravichandran Ashwin,India
Balls,6423,813,160,690,Ravichandran Ashwin,India
Highest,124,65,31,50,Ravichandran Ashwin,India
Average,25.76,16.44,26.29,13.1,Ravichandran Ashwin,India
SR,54.54,86.97,115,117.69,Ravichandran Ashwin,India
Not Out,15,20,12,34,Ravichandran Ashwin,India
Fours,399,60,17,62,Ravichandran Ashwin,India
Sixes,23,7,4,28,Ravichandran Ashwin,India
Ducks,9,6,0,12,Ravichandran Ashwin,India
50s,14,1,0,1,Ravichandran Ashwin,India
100s,6,0,0,0,Ravichandran Ashwin,India
200s,0,0,0,0,Ravichandran Ashwin,India
300s,0,0,0,0,Ravichandran Ashwin,India
400s,0,0,0,0,Ravichandran Ashwin,India
Matches,58,85,72,137,KL Rahul,India
Innings,101,79,68,128,KL Rahul,India
Runs,3257,3043,2265,4921,KL Rahul,India
Balls,6168,3451,1628,3633,KL Rahul,India
