ROWHEADER,Test,ODI,T20,IPL,name
100s,4.0,0.0,0.0,1.0,Mayank Agarawal
200s,2.0,0.0,0.0,0.0,Mayank Agarawal
300s,0.0,0.0,0.0,0.0,Mayank Agarawal
400s,0.0,0.0,0.0,0.0,Mayank Agarawal
Matches,5.0,6.0,1.0,79.0,Prithvi Shaw
Innings,9.0,6.0,1.0,79.0,Prithvi Shaw
Runs,339.0,189.0,0.0,1892.0,Prithvi Shaw
Balls,394.0,166.0,1.0,1283.0,Prithvi Shaw
Highest,134.0,49.0,0.0,99.0,Prithvi Shaw
Average,42.38,31.5,0.0,23.95,Prithvi Shaw
SR,86.05,113.86,0.0,147.47,Prithvi Shaw
Not Out,1.0,0.0,0.0,0.0,Prithvi Shaw
Fours,48.0,32.0,0.0,238.0,Prithvi Shaw
Sixes,2.0,2.0,0.0,61.0,Prithvi Shaw
Ducks,1.0,0.0,1.0,7.0,Prithvi Shaw
50s,2.0,0.0,0.0,14.0,Prithvi Shaw
100s,1.0,0.0,0.0,0.0,Prithvi Shaw
200s,0.0,0.0,0.0,0.0,Prithvi Shaw
300s,0.0,0.0,0.0,0.0,Prithvi Shaw
400s,0.0,0.0,0.0,0.0,Prithvi Shaw
Matches,103.0,5.0,0.0,30.0,Cheteshwar Pujara
Innings,176.0,5.0,0.0,22.0,Cheteshwar Pujara
Runs,7195.0,51.0,0.0,390.0,Cheteshwar Pujara
Balls,16217.0,130.0,0.0,391.0,Cheteshwar Pujara
Highest,206.0,27.0,0.0,51.0,Cheteshwar Pujara
Average,43.61,10.2,0.0,20.53,Cheteshwar Pujara
SR,44.37,39.24,0.0,99.75,Cheteshwar Pujara
Not Out,11.0,0.0,0.0,3.0,Cheteshwar Pujara
Fours,863.0,4.0,0.0,50.0,Cheteshwar Pujara
Sixes,16.0,0.0,0.0,4.0,Cheteshwar Pujara
Ducks,12.0,2.0,0.0,1.0,Cheteshwar Pujara
50s,35.0,0.0,0.0,1.0,Cheteshwar Pujara
100s,19.0,0.0,0.0,0.0,Cheteshwar Pujara
200s,3.0,0.0,0.0,0.0,Cheteshwar Pujara
300s,0.0,0.0,0.0,0.0,Cheteshwar Pujara
400s,0.0,0.0,0.0,0.0,Cheteshwar Pujara
Matches,85.0,90.0,20.0,192.0,Ajinkya Rahane
Innings,144.0,87.0,20.0,178.0,Ajinkya Rahane
Runs,5077.0,2962.0,375.0,4863.0,Ajinkya Rahane
Balls,10256.0,3767.0,331.0,3910.0,Ajinkya Rahane
Highest,188.0,111.0,61.0,105.0,Ajinkya Rahane
Average,38.46,35.26,20.83,30.39,Ajinkya Rahane
SR,49.51,78.64,113.3,124.38,Ajinkya Rahane
Not Out,12.0,3.0,2.0,18.0,Ajinkya Rahane
Fours,579.0,293.0,32.0,497.0,Ajinkya Rahane
Sixes,35.0,33.0,6.0,117.0,Ajinkya Rahane
Ducks,10.0,6.0,2.0,13.0,Ajinkya Rahane
50s,26.0,24.0,1.0,32.0,Ajinkya Rahane
100s,12.0,3.0,0.0,2.0,Ajinkya Rahane
200s,0.0,0.0,0.0,0.0,Ajinkya Rahane
300s,0.0,0.0,0.0,0.0,Ajinkya Rahane
400s,0.0,0.0,0.0,0.0,Ajinkya Rahane
Matches,0.0,6.0,23.0,71.0,Ruturaj Gaikwad
Innings,0.0,6.0,20.0,70.0,Ruturaj Gaikwad
Runs,0.0,115.0,633.0,2502.0,Ruturaj Gaikwad
Balls,0.0,157.0,441.0,1820.0,Ruturaj Gaikwad
Highest,0.0,71.0,123.0,108.0,Ruturaj Gaikwad
Average,0.0,19.17,39.56,40.35,Ruturaj Gaikwad
SR,0.0,73.25,143.54,137.48,Ruturaj Gaikwad
Not Out,0.0,0.0,4.0,8.0,Ruturaj Gaikwad
Fours,0.0,16.0,65.0,231.0,Ruturaj Gaikwad
Sixes,0.0,0.0,24.0,95.0,Ruturaj Gaikwad
Ducks,0.0,0.0,1.0,7.0,Ruturaj Gaikwad
50s,0.0,1.0,4.0,20.0,Ruturaj Gaikwad
100s,0.0,0.0,1.0,2.0,Ruturaj Gaikwad
200s,0.0,0.0,0.0,0.0,Ruturaj Gaikwad
300s,0.0,0.0,0.0,0.0,Ruturaj Gaikwad
400s,0.0,0.0,0.0,0.0,Ruturaj Gaikwad
Matches,11.0,94.0,114.0,143.0,Hardik Pandya
Innings,18.0,68.0,90.0,133.0,Hardik Pandya
Runs,532.0,1904.0,1812.0,2629.0,Hardik Pandya
Balls,720.0,1717.0,1279.0,1795.0,Hardik Pandya
Highest,108.0,92.0,71.0,91.0,Hardik Pandya
Average,31.29,32.83,27.88,28.58,Hardik Pandya
SR,73.89,110.9,141.68,146.47,Hardik Pandya
Not Out,1.0,10.0,25.0,41.0,Hardik Pandya
Fours,68.0,141.0,135.0,198.0,Hardik Pandya
Sixes,12.0,76.0,95.0,142.0,Hardik Pandya
Ducks,2.0,4.0,3.0,6.0,Hardik Pandya
50s,4.0,11.0,5.0,10.0,Hardik Pandya
100s,1.0,0.0,0.0,0.0,Hardik Pandya
200s,0.0,0.0,0.0,0.0,Hardik Pandya
300s,0.0,0.0,0.0,0.0,Hardik Pandya
